ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Accuracy at 10%,Precision at 10%,Recall at 10%,F1 at 10%,Roc_Auc at 10%
0.0,Logistic Regression,39.0,"{'penalty': 'l2', 'C': 0.1, 'solver': 'sag'}",0.2084157466888428,0.0,0.3609865470852018,0.9774436090225564,0.13238289205702647,0.23318385650224216,0.6142918030160873
1.0,Decision Tree,28.0,"{'min_samples_split': 0.08, 'max_depth': 5}",0.012976408004760742,0.0,0.35650224215246634,0.9548872180451128,0.12932790224032584,0.22780269058295965,0.6753343898029702
0.0,Logistic Regression,39.0,"{'penalty': 'l2', 'C': 0.1, 'solver': 'sag'}",0.20447206497192386,0.0,0.3609865470852018,0.9774436090225564,0.13238289205702647,0.23318385650224216,0.6142918030160873
1.0,Decision Tree,28.0,"{'min_samples_split': 0.08, 'max_depth': 5}",0.011962175369262695,0.0,0.35650224215246634,0.9548872180451128,0.12932790224032584,0.22780269058295965,0.6753343898029702
2.0,Random Forest,25.0,"{'n_estimators': 300, 'max_depth': 5, 'max_features': 10}",0.4058821201324463,0.10488486289978027,0.3639760837070254,0.9924812030075189,0.13441955193482688,0.2367713004484305,0.6715843039886498
3.0,Bagging,4.0,"{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 25}",0.1934492588043213,0.02892470359802246,0.3639760837070254,0.9924812030075189,0.13441955193482688,0.2367713004484305,0.6523061168447791
4.0,Naive Bayes,0.0,{},0.0030205249786376953,0.0,0.35500747384155457,0.9473684210526316,0.12830957230142567,0.2260089686098655,0.6203989221721321
5.0,KNN,25.0,"{'n_neighbors': 400, 'weights': 'uniform', 'metric': 'manhattan'}",0.014945507049560547,0.22540974617004395,0.3624813153961136,0.9849624060150376,0.1334012219959267,0.2349775784753363,0.6170035355500126
6.0,Linear SVM,11.0,"{'penalty': 'l2', 'C': 100}",0.5136265754699707,0.0009980201721191406,0.35500747384155457,0.9473684210526315,0.12830957230142567,0.22600896860986547,0.5903524680198632
