ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Accuracy at 10%,Precision at 10%,Recall at 10%,F1 at 10%,Roc_Auc at 10%
0.0,Logistic Regression,39.0,"{'penalty': 'l2', 'C': 0.1, 'solver': 'sag'}",0.2892282009124756,0.000997781753540039,0.3443557582668187,0.9828571428571428,0.13040181956027294,0.23025435073627845,0.6572778053732801
1.0,Decision Tree,28.0,"{'min_samples_split': 0.08, 'max_depth': 5}",0.017952680587768555,0.0,0.33751425313568983,0.9485714285714286,0.12585291887793784,0.22222222222222224,0.6707720059606285
2.0,Random Forest,2.0,"{'n_estimators': 100, 'max_depth': 5, 'max_features': 15}",0.18350911140441886,0.1037278175354004,0.34207525655644244,0.9714285714285714,0.1288855193328279,0.2275769745649264,0.678582695005795
3.0,Bagging,0.0,"{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 5}",0.2064809799194336,0.032881975173950195,0.34549600912200684,0.9885714285714284,0.13115996967399546,0.2315930388219545,0.6818453548055389
4.0,Naive Bayes,0.0,{},0.004986763000488281,0.0009975433349609377,0.3409350057012543,0.9657142857142856,0.1281273692191054,0.22623828647925034,0.6780476327416277
5.0,KNN,57.0,"{'n_neighbors': 800, 'weights': 'uniform', 'metric': 'manhattan'}",0.03191542625427246,0.29919958114624023,0.34207525655644244,0.9714285714285714,0.1288855193328279,0.2275769745649264,0.6811124763622738
6.0,Linear SVM,8.0,"{'penalty': 'l2', 'C': 0.1}",0.5345704555511475,0.0009975433349609375,0.3443557582668187,0.9828571428571429,0.13040181956027294,0.23025435073627845,0.6554024731379571
