ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Accuracy at 10%,Precision at 10%,Recall at 10%,F1 at 10%,Roc_Auc at 10%
0.0,Logistic Regression,53.0,"{'penalty': 'l2', 'C': 1000, 'solver': 'lbfgs'}",0.04089164733886719,0.000997304916381836,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6680088599424984
1.0,Decision Tree,36.0,"{'min_samples_split': 0.1, 'max_depth': 5}",0.01894855499267578,0.0009982585906982422,0.3540983606557377,0.9467213114754098,0.12876254180602004,0.2266928361138371,0.7025784261953328
2.0,Random Forest,3.0,"{'n_estimators': 100, 'max_depth': 5, 'max_features': 20}",0.2812461853027344,0.10468602180480956,0.3639344262295082,0.9959016393442623,0.1354515050167224,0.2384690873405299,0.7026591044796726
3.0,Bagging,4.0,"{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 25}",0.4737341403961182,0.03889656066894531,0.3614754098360656,0.9836065573770492,0.13377926421404682,0.2355250245338568,0.6971932585743327
4.0,Naive Bayes,0.0,{},0.005983591079711914,0.001995563507080078,0.3598360655737705,0.9754098360655736,0.1326644370122631,0.2335623159960746,0.6761297548415599
5.0,KNN,65.0,"{'n_neighbors': 900, 'weights': 'uniform', 'metric': 'manhattan'}",0.051861047744750984,0.7180795669555664,0.3606557377049181,0.9795081967213116,0.13322185061315495,0.23454367026496564,0.6825141251712796
6.0,Linear SVM,6.0,"{'penalty': 'l2', 'C': 0.001}",0.032912254333496094,0.0009963512420654297,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6693652905626253
