ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Accuracy at 10%,Precision at 10%,Recall at 10%,F1 at 10%,Roc_Auc at 10%
0.0,Logistic Regression,12.0,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",0.193495512008667,0.0009598731994628906,0.3680124223602485,0.984375,0.13432835820895522,0.2363977485928705,0.6702634785257386
1.0,Decision Tree,36.0,"{'min_samples_split': 0.1, 'max_depth': 5}",0.01496124267578125,0.0,0.35714285714285715,0.9296875,0.12686567164179105,0.22326454033771104,0.6942628693268353
2.0,Random Forest,2.0,"{'n_estimators': 100, 'max_depth': 5, 'max_features': 15}",0.16755247116088867,0.10372519493103027,0.3695652173913043,0.9921875,0.13539445628997868,0.23827392120075044,0.6999147121535181
3.0,Bagging,3.0,"{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 20}",0.36599063873291016,0.0219423770904541,0.3618012422360248,0.953125,0.1300639658848614,0.2288930581613509,0.6837024063356686
4.0,Naive Bayes,0.0,{},0.005021572113037109,0.000995159149169922,0.35714285714285715,0.9296875,0.12686567164179105,0.22326454033771104,0.6715565031982942
5.0,KNN,57.0,"{'n_neighbors': 800, 'weights': 'uniform', 'metric': 'manhattan'}",0.02393484115600586,0.3141610622406006,0.36490683229813664,0.96875,0.13219616204690832,0.23264540337711076,0.6711818458726774
6.0,Linear SVM,6.0,"{'penalty': 'l2', 'C': 0.001}",0.016952991485595703,0.000997304916381836,0.36801242236024845,0.984375,0.13432835820895522,0.23639774859287055,0.6703655193420652
