ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Accuracy at 10%,Precision at 10%,Recall at 10%,F1 at 10%,Roc_Auc at 10%
0.0,Logistic Regression,33.0,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs'}",0.0079498291015625,0.0,0.3639760837070254,0.9924812030075189,0.13441955193482688,0.2367713004484305,0.6105388567244101
0.0,Logistic Regression,34.0,"{'penalty': 'l2', 'C': 0.01, 'solver': 'newton-cg'}",0.028873920440673825,0.0,0.3639760837070254,0.9924812030075189,0.13441955193482688,0.2367713004484305,0.6105417172017666
0.0,Logistic Regression,35.0,"{'penalty': 'l2', 'C': 0.01, 'solver': 'sag'}",0.20543909072875974,0.0,0.3639760837070254,0.9924812030075189,0.13441955193482688,0.2367713004484305,0.6105274148149843
1.0,Decision Tree,24.0,"{'min_samples_split': 0.07, 'max_depth': 5}",0.012967824935913086,0.0,0.35201793721973096,0.9323308270676692,0.12627291242362526,0.22242152466367715,0.6745105723243096
1.0,Decision Tree,33.0,"{'min_samples_split': 0.09, 'max_depth': 10}",0.01795482635498047,0.0,0.33557548579970103,0.849624060150376,0.115071283095723,0.20269058295964126,0.6666557015034669
0.0,Logistic Regression,33.0,"{'penalty': 'l2', 'C': 0.01, 'solver': 'lbfgs'}",0.008975744247436523,0.0009968280792236328,0.3639760837070254,0.9924812030075189,0.13441955193482688,0.2367713004484305,0.6105388567244101
0.0,Logistic Regression,34.0,"{'penalty': 'l2', 'C': 0.01, 'solver': 'newton-cg'}",0.02991938591003418,0.0,0.3639760837070254,0.9924812030075189,0.13441955193482688,0.2367713004484305,0.6105417172017666
0.0,Logistic Regression,35.0,"{'penalty': 'l2', 'C': 0.01, 'solver': 'sag'}",0.20245575904846191,0.0009512901306152344,0.3639760837070254,0.9924812030075189,0.13441955193482688,0.2367713004484305,0.6105274148149843
1.0,Decision Tree,24.0,"{'min_samples_split': 0.07, 'max_depth': 5}",0.012965202331542969,0.0009975433349609377,0.35201793721973096,0.9323308270676692,0.12627291242362526,0.22242152466367715,0.6745105723243096
1.0,Decision Tree,33.0,"{'min_samples_split': 0.09, 'max_depth': 10}",0.016954421997070312,0.000997304916381836,0.33557548579970103,0.849624060150376,0.115071283095723,0.20269058295964126,0.6666557015034669
2.0,Random Forest,49.0,"{'n_estimators': 500, 'max_depth': 5, 'max_features': 10}",0.692218542098999,0.10472393035888672,0.3639760837070254,0.9924812030075189,0.13441955193482688,0.2367713004484305,0.6723480514428248
3.0,Bagging,4.0,"{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 25}",0.19946718215942386,0.03391289710998535,0.3639760837070254,0.9924812030075189,0.13441955193482688,0.2367713004484305,0.6523061168447791
3.0,Bagging,5.0,"{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 30}",0.2423515319824219,0.02293848991394043,0.3654708520179372,1.0,0.1354378818737271,0.23856502242152464,0.650606993295041
3.0,Bagging,83.0,"{'n_estimators': 500, 'max_samples': 0.1, 'max_features': 30}",1.102084398269653,0.0857703685760498,0.3654708520179372,1.0,0.1354378818737271,0.23856502242152464,0.6642686331495
4.0,Naive Bayes,0.0,{},0.002993106842041016,0.000997781753540039,0.35500747384155457,0.9473684210526316,0.12830957230142567,0.2260089686098655,0.6203989221721321
5.0,KNN,25.0,"{'n_neighbors': 400, 'weights': 'uniform', 'metric': 'manhattan'}",0.016954660415649414,0.22439932823181152,0.3624813153961136,0.9849624060150376,0.1334012219959267,0.2349775784753363,0.6170035355500126
6.0,Linear SVM,8.0,"{'penalty': 'l2', 'C': 0.1}",0.5026242733001709,0.0,0.3609865470852018,0.9774436090225563,0.13238289205702647,0.23318385650224216,0.6121607473855237
