ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Accuracy at 10%,Precision at 10%,Recall at 10%,F1 at 10%,Roc_Auc at 10%
0.0,Logistic Regression,28.0,"{'penalty': 'l2', 'C': 0.001, 'solver': 'liblinear'}",0.012965202331542969,0.0009980201721191406,0.3695652173913043,0.9921875,0.13539445628997868,0.23827392120075044,0.6685775205604629
1.0,Decision Tree,16.0,"{'min_samples_split': 0.05, 'max_depth': 5}",0.016997337341308594,0.0,0.36490683229813664,0.96875,0.13219616204690832,0.2326454033771108,0.7036628084069451
1.0,Decision Tree,36.0,"{'min_samples_split': 0.1, 'max_depth': 5}",0.014925241470336912,0.0,0.35714285714285715,0.9296875,0.12686567164179105,0.22326454033771104,0.6942628693268353
2.0,Random Forest,8.0,"{'n_estimators': 100, 'max_depth': 10, 'max_features': 15}",0.2782559394836426,0.10472416877746582,0.37111801242236025,1.0,0.13646055437100213,0.2401500938086304,0.7057112397197685
3.0,Bagging,48.0,"{'n_estimators': 300, 'max_samples': 0.3, 'max_features': 5}",0.6492631435394287,0.11070561408996582,0.3695652173913043,0.9921875,0.13539445628997868,0.23827392120075044,0.6859427353030765
3.0,Bagging,88.0,"{'n_estimators': 500, 'max_samples': 0.3, 'max_features': 25}",1.9368202686309808,0.1964733600616455,0.3695652173913043,0.9921875,0.13539445628997868,0.23827392120075044,0.7046390496497106
3.0,Bagging,120.0,"{'n_estimators': 1000, 'max_samples': 0.3, 'max_features': 5}",2.043503999710083,0.34308433532714844,0.3695652173913043,0.9921875,0.13539445628997868,0.23827392120075044,0.685863539445629
3.0,Bagging,128.0,"{'n_estimators': 1000, 'max_samples': 0.5, 'max_features': 15}",3.0209197998046875,0.6602363586425781,0.3695652173913043,0.9921875,0.13539445628997868,0.23827392120075044,0.7066509290283277
4.0,Naive Bayes,0.0,{},0.004019975662231445,0.0,0.35714285714285715,0.9296875,0.12686567164179105,0.22326454033771104,0.6715565031982942
5.0,KNN,72.0,"{'n_neighbors': 1000, 'weights': 'uniform', 'metric': 'euclidean'}",0.024933576583862305,0.3081738948822021,0.3695652173913043,0.9921875,0.13539445628997868,0.23827392120075044,0.6778068839476089
5.0,KNN,75.0,"{'n_neighbors': 1000, 'weights': 'uniform', 'metric': 'minkowski'}",0.023937225341796875,0.3430492877960205,0.3695652173913043,0.9921875,0.13539445628997868,0.23827392120075044,0.6778068839476089
6.0,Linear SVM,6.0,"{'penalty': 'l2', 'C': 0.001}",0.013962984085083008,0.0,0.36801242236024845,0.984375,0.13432835820895522,0.23639774859287055,0.6703655193420652
