Batch,Legend,Recall
2008 - 2009,"KNN{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'euclidean'}",0.135437882
2010 - 2011,"KNN{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'euclidean'}",0.134328358
2012 - 2013,"KNN{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'euclidean'}",0.13040182
2014 - 2015,"KNN{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'euclidean'}",0.134894091
2016 - 2017,"KNN{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'euclidean'}",0.137520303
