Batch,Legend,Recall
2008 - 2009,"Random Forest{'n_estimators': 300, 'max_depth': 15, 'max_features': 5}",0.134419552
2010 - 2011,"Random Forest{'n_estimators': 300, 'max_depth': 15, 'max_features': 5}",0.135394456
2012 - 2013,"Random Forest{'n_estimators': 300, 'max_depth': 15, 'max_features': 5}",0.13040182
2014 - 2015,"Random Forest{'n_estimators': 300, 'max_depth': 15, 'max_features': 5}",0.135451505
2016 - 2017,"Random Forest{'n_estimators': 300, 'max_depth': 15, 'max_features': 5}",0.135354629
