ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Accuracy at 10%,Precision at 10%,Recall at 10%,F1 at 10%,Roc_Auc at 10%
2.0,Random Forest,0.0,"{'n_estimators': 300, 'max_depth': 15, 'max_features': 5}",0.5156211853027344,0.10390734672546388,0.3639760837070254,0.9924812030075189,0.13441955193482688,0.2367713004484305,0.6834867502688851
2.0,Random Forest,0.0,"{'n_estimators': 300, 'max_depth': 15, 'max_features': 5}",0.5255944728851318,0.10390233993530272,0.3695652173913043,0.9921875,0.13539445628997868,0.23827392120075044,0.7075357904355772
2.0,Random Forest,0.0,"{'n_estimators': 300, 'max_depth': 15, 'max_features': 5}",0.6393222808837891,0.10438680648803712,0.3443557582668187,0.9828571428571428,0.13040181956027294,0.23025435073627845,0.7002013019267471
2.0,Random Forest,0.0,"{'n_estimators': 300, 'max_depth': 15, 'max_features': 5}",0.6831400394439697,0.104719877243042,0.3639344262295082,0.9959016393442623,0.1354515050167224,0.2384690873405299,0.7152561341382178
2.0,Random Forest,0.0,"{'n_estimators': 300, 'max_depth': 15, 'max_features': 5}",0.8586771488189697,0.10372185707092285,0.3722570532915361,0.9803921568627451,0.1353546291283162,0.2378686964795433,0.6954724356537533
