ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Accuracy at 10%,Precision at 10%,Recall at 10%,F1 at 10%,Roc_Auc at 10%
7.0,KNN,0.0,"{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'minkowski'}",0.0189516544342041,0.10970449447631836,0.3654708520179372,1.0,0.1354378818737271,0.23856502242152464,0.6630400581248999
7.0,KNN,0.0,"{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'minkowski'}",0.0219416618347168,0.10970640182495116,0.3680124223602485,0.984375,0.13432835820895522,0.2363977485928705,0.6859122753579043
7.0,KNN,0.0,"{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'minkowski'}",0.030915737152099613,0.2343728542327881,0.3443557582668187,0.9828571428571428,0.13040181956027294,0.23025435073627845,0.6876308244664628
7.0,KNN,0.0,"{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'minkowski'}",0.05189323425292969,0.2453103065490723,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6941145407291591
7.0,KNN,0.0,"{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'minkowski'}",0.07184457778930664,0.33706116676330566,0.37539184952978055,0.996078431372549,0.13752030319436925,0.24167459562321597,0.6907563347886356
