Batch,Legend,Recall
2008 - 2009,"Bagging{'n_estimators': 500, 'max_samples': 0.1, 'max_features': 30}",0.135437882
2010 - 2011,"Bagging{'n_estimators': 500, 'max_samples': 0.1, 'max_features': 30}",0.135394456
2012 - 2013,"Bagging{'n_estimators': 500, 'max_samples': 0.1, 'max_features': 30}",0.128885519
2014 - 2015,"Bagging{'n_estimators': 500, 'max_samples': 0.1, 'max_features': 30}",0.134336678
2016 - 2017,"Bagging{'n_estimators': 500, 'max_samples': 0.1, 'max_features': 30}",0.133188955
