Batch,Legend,Recall
2008 - 2009,"Bagging{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 30}",0.135437882
2010 - 2011,"Bagging{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 30}",0.132196162
2012 - 2013,"Bagging{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 30}",0.126611069
2014 - 2015,"Bagging{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 30}",0.134336678
2016 - 2017,"Bagging{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 30}",0.134271792
