ModelIndex,ModelName,HyperGridIndex,HyperParams,TrainingTime (s),TestTime (s),Accuracy at 10%,Precision at 10%,Recall at 10%,F1 at 10%,Roc_Auc at 10%
7.0,KNN,0.0,"{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'euclidean'}",0.01894974708557129,0.1107032299041748,0.3654708520179372,1.0,0.1354378818737271,0.23856502242152464,0.6630400581248999
7.0,KNN,0.0,"{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'euclidean'}",0.02493143081665039,0.21169281005859367,0.3680124223602485,0.984375,0.13432835820895522,0.2363977485928705,0.6859122753579043
7.0,KNN,0.0,"{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'euclidean'}",0.03093123435974121,0.2136170864105225,0.3443557582668187,0.9828571428571428,0.13040181956027294,0.23025435073627845,0.6876308244664628
7.0,KNN,0.0,"{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'euclidean'}",0.05089616775512695,0.2423503398895264,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6941145407291591
7.0,KNN,0.0,"{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'euclidean'}",0.06586861610412598,0.3710181713104248,0.37539184952978055,0.996078431372549,0.13752030319436925,0.241674595623216,0.6907563347886356
7.0,KNN,0.0,"{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'euclidean'}",0.018003225326538086,0.11068439483642578,0.3654708520179372,1.0,0.1354378818737271,0.23856502242152464,0.6630400581248999
7.0,KNN,0.0,"{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'euclidean'}",0.021940231323242188,0.1107041835784912,0.3680124223602485,0.984375,0.13432835820895522,0.2363977485928705,0.6859122753579043
7.0,KNN,0.0,"{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'euclidean'}",0.03394198417663573,0.22835588455200195,0.3443557582668187,0.9828571428571428,0.13040181956027294,0.23025435073627845,0.6876308244664628
7.0,KNN,0.0,"{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'euclidean'}",0.050863981246948235,0.31928205490112305,0.36311475409836064,0.9918032786885246,0.13489409141583056,0.23748773307163884,0.6941145407291591
7.0,KNN,0.0,"{'n_neighbors': 100, 'weights': 'uniform', 'metric': 'euclidean'}",0.0688467025756836,0.3310837745666504,0.37539184952978055,0.996078431372549,0.13752030319436925,0.24167459562321597,0.6907563347886356
